"","uniqueid","enroldt","Pctpov","poverty_rate","integrated"
"1",1,"5/4/2004",25.13484358,24.6495636075112,25.13484358
"2",4,"5/5/2004",15.88310038,NA,15.88310038
"3",5,"5/5/2004",23.77560107,NA,23.77560107
"4",9,"5/5/2004",7.079241836,NA,7.079241836
"5",10,"5/5/2004",NA,NA,NA
"6",15,"5/5/2004",15.44344996,NA,15.44344996
"7",18,"5/6/2004",3.708867819,NA,3.708867819
"8",21,"5/6/2004",NA,NA,NA
"9",24,"5/7/2004",18.88671875,NA,18.88671875
"10",26,"4/13/2004",4.242101526,NA,4.242101526
"11",27,"5/7/2004",11.64057182,NA,11.64057182
"12",29,"5/7/2004",18.88671875,NA,18.88671875
"13",31,"5/7/2004",7.08143652,NA,7.08143652
"14",33,"5/7/2004",8.1743035,NA,8.1743035
"15",34,"5/17/2004",NA,NA,NA
"16",37,"5/17/2004",33.65751997,NA,33.65751997
"17",41,"5/18/2004",NA,NA,NA
"18",42,"5/18/2004",16.95854182,NA,16.95854182
"19",43,"5/18/2004",NA,NA,NA
"20",45,"5/18/2004",NA,NA,NA
"21",47,"5/18/2004",NA,11.583866207575,11.583866207575
"22",48,"5/19/2004",NA,NA,NA
"23",49,"5/19/2004",19.66466193,19.6646619281939,19.66466193
"24",51,"5/20/2004",6.252707581,NA,6.252707581
"25",53,"5/20/2004",NA,NA,NA
"26",55,"5/21/2004",NA,NA,NA
"27",76,"5/26/2004",23.59898108,NA,23.59898108
"28",77,"5/26/2004",28.73170732,28.2155688622754,28.73170732
"29",78,"5/26/2004",14.93251324,NA,14.93251324
"30",79,"5/27/2004",8.776206728,8.77620672842516,8.776206728
"31",80,"5/27/2004",11.80625631,NA,11.80625631
"32",83,"5/28/2004",3.172002978,NA,3.172002978
"33",84,"5/28/2004",6.037104623,NA,6.037104623
"34",86,"6/1/2004",10.48451152,10.377358490566,10.48451152
"35",87,"6/1/2004",15.81733951,NA,15.81733951
"36",90,"6/2/2004",NA,15.6345399040558,15.6345399040558
"37",93,"6/3/2004",6.896551724,NA,6.896551724
"38",94,"6/3/2004",9.639909977,NA,9.639909977
"39",98,"6/7/2004",NA,NA,NA
"40",99,"6/7/2004",NA,NA,NA
"41",103,"6/8/2004",NA,NA,NA
"42",107,"6/9/2004",9.241470686,NA,9.241470686
"43",108,"6/9/2004",27.24771789,NA,27.24771789
"44",109,"6/10/2004",23.84628018,NA,23.84628018
"45",111,"6/11/2004",NA,12.857847976308,12.857847976308
"46",112,"6/11/2004",NA,NA,NA
"47",113,"6/14/2004",NA,5.35190615835777,5.35190615835777
"48",116,"6/15/2004",NA,NA,NA
"49",118,"6/15/2004",NA,NA,NA
"50",119,"6/16/2004",4.982064568,4.9820645675568,4.982064568
"51",120,"6/16/2004",25.6508079,NA,25.6508079
"52",121,"6/17/2004",6.277452416,NA,6.277452416
"53",122,"6/17/2004",16.95854182,NA,16.95854182
"54",123,"6/18/2004",32.12321232,31.5334773218143,32.12321232
"55",129,"6/21/2004",13.43743127,13.4374312733671,13.43743127
"56",132,"6/21/2004",21.57738095,21.513353115727,21.57738095
"57",137,"6/22/2004",6.609349812,6.60225442834138,6.609349812
"58",138,"6/22/2004",38.28571429,38.0501656412683,38.28571429
"59",140,"6/22/2004",12.77085331,NA,12.77085331
"60",141,"6/23/2004",NA,NA,NA
"61",145,"6/23/2004",34.33559651,NA,34.33559651
"62",149,"6/23/2004",NA,NA,NA
"63",151,"6/24/2004",NA,NA,NA
"64",152,"6/24/2004",17.64705882,NA,17.64705882
"65",153,"6/24/2004",NA,NA,NA
"66",155,"6/25/2004",26.94562361,26.2763650699783,26.94562361
"67",158,"6/28/2004",32.12321232,31.5334773218143,32.12321232
"68",159,"6/28/2004",11.79872759,11.46282075295,11.79872759
"69",160,"6/28/2004",24.99016909,NA,24.99016909
"70",162,"6/28/2004",NA,NA,NA
"71",163,"6/28/2004",19.07570105,NA,19.07570105
"72",164,"6/29/2004",27.18393923,27.1544715447154,27.18393923
"73",168,"6/29/2004",33.61702128,33.5219236209335,33.61702128
"74",170,"6/29/2004",8.915696062,NA,8.915696062
"75",172,"6/30/2004",NA,NA,NA
"76",182,"7/6/2004",35.98997494,35.579781962339,35.98997494
"77",184,"7/6/2004",NA,NA,NA
"78",185,"7/6/2004",NA,NA,NA
"79",188,"7/6/2004",NA,NA,NA
"80",192,"7/7/2004",22.53909844,21.1571675302245,22.53909844
"81",195,"7/7/2004",10.53196382,NA,10.53196382
"82",199,"7/8/2004",21.50474799,NA,21.50474799
"83",200,"7/8/2004",30.24115993,30.0058719906048,30.24115993
"84",201,"7/8/2004",32.95568983,31.6795740561471,32.95568983
"85",202,"7/8/2004",NA,NA,NA
"86",204,"7/9/2004",22.33926625,NA,22.33926625
"87",205,"7/8/2004",3.014705882,NA,3.014705882
"88",208,"7/9/2004",22.46153846,22.4615384615385,22.46153846
"89",211,"7/12/2004",NA,NA,NA
"90",213,"7/12/2004",18.95043732,NA,18.95043732
"91",217,"7/13/2004",5.340042201,NA,5.340042201
"92",225,"7/14/2004",NA,NA,NA
"93",226,"7/15/2004",11.63095759,11.6309575863577,11.63095759
"94",227,"7/15/2004",16.54812019,NA,16.54812019
"95",232,"7/16/2004",3.492245836,NA,3.492245836
